Ref,Manufacturer,Code,Named_Variant,Silent_Variant,Layout,Cylinders,CC_Displacement,Aspiration,Fuel_Type,Compression_ratio,Fuel_delivery,Horsepower,Torque_lbft
mazda-skyactivg-2.0,Mazda,PE-VPS,,,Inline,4,1998,Naturally Aspirated,Gasoline,13.0:1,Direct Injection,,
porsche-9a2evo-3.0tt,Porsche,9A2evo,,,Flat,6,2981,Twin-Turbocharged,Gasoline,10.2:1,Direct Injection,,
porsche-9a1-4.0,Porsche,9A1,,,Flat,6,3996,Naturally Aspirated,Gasoline,13.3:1,Direct Injection,,
toyota-b58-3.0t,BMW,B58,B30,,Inline,6,2998,Turbocharged,Gasoline,10.2:1,Direct Injection,,
honda-f20c-2.0,Honda,F20C,,,Inline,4,1997,Naturally Aspirated,Gasoline,11.0:1,Port Injection,,
subaru-fa20dit-2.0t,Subaru,FA20DIT,,,Flat,4,1998,Turbocharged,Gasoline,10.6:1,Direct Injection,,
ford-coyote-gen3-5.0,Ford,Coyote,Gen 3,,V,8,5038,Naturally Aspirated,Gasoline,12.0:1,Port and Direct Injection,,
chevrolet-lt2-6.2,Chevrolet,LT2,,,V,8,6162,Naturally Aspirated,Gasoline,11.5:1,Direct Injection,,
bmw-s58-3.0tt,BMW,S58,,,Inline,6,2993,Twin-Turbocharged,Gasoline,9.3:1,Direct Injection,,
nissan-vr38dett-3.8tt,Nissan,VR38DETT,,,V,6,3799,Twin-Turbocharged,Gasoline,9.0:1,Direct Injection,,
vw-ea888gen3-2.0t,Volkswagen,EA888,Gen 3,,Inline,4,1984,Turbocharged,Gasoline,9.6:1,Direct Injection,,
honda-k20c1-2.0t,Honda,K20C1,,,Inline,4,1996,Turbocharged,Gasoline,9.8:1,Port and Direct Injection,,
toyota-2jzgte-3.0tt,Toyota,2JZ-GTE,,,Inline,6,2997,Twin-Turbocharged,Gasoline,8.5:1,Port Injection,,
nissan-rb26dett-2.6tt,Nissan,RB26DETT,,,Inline,6,2568,Twin-Turbocharged,Gasoline,8.5:1,Port Injection,,
mitsubishi-4g63-2.0t,Mitsubishi,4G63,,,Inline,4,1997,Turbocharged,Gasoline,8.8:1,Port Injection,,
subaru-ej257-2.5t,Subaru,EJ257,,,Flat,4,2457,Turbocharged,Gasoline,8.2:1,Port Injection,,
dodge-viper-8.4-v10,Dodge,,,,V,10,8382,Naturally Aspirated,Gasoline,10.2:1,Port Injection,,
chevrolet-lt1-6.2,Chevrolet,LT1,,,V,8,6162,Naturally Aspirated,Gasoline,11.5:1,Direct Injection,,
dodge-hellcat-6.2sc,Dodge,Hellcat,,,V,8,6166,Supercharged,Gasoline,9.5:1,Port Injection,,
bmw-s54-3.2,BMW,S54,,,Inline,6,3246,Naturally Aspirated,Gasoline,11.5:1,Port Injection,,
audi-r8-5.2fsi-v10,Audi,,,,V,10,5204,Naturally Aspirated,Gasoline,12.5:1,Direct Injection,,
ferrari-f136-4.5,Ferrari,F136,,,V,8,4499,Naturally Aspirated,Gasoline,12.5:1,Direct Injection,,
lamborghini-huracan-5.2,Lamborghini,,,,V,10,5204,Naturally Aspirated,Gasoline,12.5:1,Direct Injection,,
mclaren-m840t-4.0tt,McLaren,M840T,,,V,8,3994,Twin-Turbocharged,Gasoline,8.7:1,Direct Injection,,
